 EQUATION NUMBER
 ---------------------
     node   dof    eqn
    179      1    454
    179      2    455
    179      3    456
    180      1    457
    180      2    458
    180      3    459
    181      1    460
    181      2    461
    181      3    462
    182      1    463
    182      2    464
    182      3    465
    183      1    466
    183      2    467
    183      3    468
    184      1    469
    184      2    470
    184      3    471
    185      1    472
    185      2    473
    185      3    474
    186      1    475
    186      2    476
    186      3    477
    187      1    478
    187      2    479
    187      3    480
    188      1    481
    188      2    482
    188      3    483
    189      1    484
    189      2    485
    189      3    486
    190      1    487
    190      2    488
    190      3    489
    191      1    490
    191      2    491
    191      3    492
    192      1    493
    192      2    494
    192      3    495
    193      1    496
    193      2    497
    193      3    498
    194      1    499
    194      2    500
    194      3    501
    195      1    502
    195      2    503
    195      3    504
    196      1    505
    196      2    506
    196      3    507
    197      1    508
    197      2    509
    197      3    510
    198      1    511
    198      2    512
    198      3    513
    199      1    514
    199      2    515
    199      3    516
    200      1    517
    200      2    518
    200      3    519
    201      1    520
    201      2    521
    201      3    522
    202      1    523
    202      2    524
    202      3    525
    203      1    526
    203      2    527
    203      3    528
    204      1    529
    204      2    530
    204      3    531
    205      1    532
    205      2    533
    205      3    534
    206      1    535
    206      2    536
    206      3    537
    207      1    538
    207      2    539
    207      3    540
    208      1    541
    208      2    542
    208      3    543
    209      1    544
    209      2    545
    209      3    546
    210      1    547
    210      2    548
    210      3    549
    211      1    550
    211      2    551
    211      3    552
    212      1    553
    212      2    554
    212      3    555
    213      1    556
    213      2    557
    213      3    558
    214      1    559
    214      2    560
    214      3    561
    215      1    562
    215      2    563
    215      3    564
    216      1    565
    216      2    566
    216      3    567
    217      1    568
    217      2    569
    217      3    570
    218      1    571
    218      2    572
    218      3    573
    219      1    574
    219      2    575
    219      3    576
    220      1    577
    220      2    578
    220      3    579
    221      1    580
    221      2    581
    221      3    582
    222      1    583
    222      2    584
    222      3    585
    223      1    586
    223      2    587
    223      3    588
    224      1    589
    224      2    590
    224      3    591
    225      1    592
    225      2    593
    225      3    594
    226      1    595
    226      2    596
    226      3    597
    227      1    598
    227      2    599
    227      3    600
    228      1    601
    228      2    602
    228      3    603
    229      1    604
    229      2    605
    229      3    606
    230      1    607
    230      2    608
    230      3    609
    231      1    610
    231      2    611
    231      3    612
    232      1    613
    232      2    614
    232      3    615
    233      1    616
    233      2    617
    233      3    618
    234      1    619
    234      2    620
    234      3    621
    235      1    622
    235      2    623
    235      3    624
    236      1    625
    236      2    626
    236      3    627
    237      1    628
    237      2    629
    237      3    630
    238      1    631
    238      2    632
    238      3    633
    239      1    634
    239      2    635
    239      3    636
    240      1    637
    240      2    638
    240      3    639
    241      1    640
    241      2    641
    241      3    642
    242      1    643
    242      2    644
    242      3    645
    243      1    646
    243      2    647
    243      3    648
    244      1    649
    244      2    650
    244      3    651
    245      1    652
    245      2    653
    245      3    654
    246      1    655
    246      2    656
    246      3    657
    247      1    658
    247      2    659
    247      3    660
    248      1    661
    248      2    662
    248      3    663
    249      1    664
    249      2    665
    249      3    666
    250      1    667
    250      2    668
    250      3    669
    251      1    670
    251      2    671
    251      3    672
    252      1    673
    252      2    674
    252      3    675
    253      1    676
    253      2    677
    253      3    678
    254      1    679
    254      2    680
    254      3    681
    255      1    682
    255      2    683
    255      3    684
    256      1    685
    256      2    686
    256      3    687
    257      1    688
    257      2    689
    257      3    690
    258      1    691
    258      2    692
    258      3    693
    259      1    694
    259      2    695
    259      3    696
    260      1    697
    260      2    698
    260      3    699
    261      1    700
    261      2    701
    261      3    702
    262      1    703
    262      2    704
    262      3    705
    263      1    706
    263      2    707
    263      3    708
    264      1    709
    264      2    710
    264      3    711
    265      1    712
    265      2    713
    265      3    714
    266      1    715
    266      2    716
    266      3    717
    267      1    718
    267      2    719
    267      3    720
    268      1    721
    268      2    722
    268      3    723
    269      1    724
    269      2    725
    269      3    726
    270      1    727
    270      2    728
    270      3    729
    271      1    730
    271      2    731
    271      3    732
    272      1    733
    272      2    734
    272      3    735
    273      1    736
    273      2    737
    273      3    738
    274      1    739
    274      2    740
    274      3    741
    275      1    742
    275      2    743
    275      3    744
    276      1    745
    276      2    746
    276      3    747
    277      1    748
    277      2    749
    277      3    750
    278      1    751
    278      2    752
    278      3    753
    279      1    754
    279      2    755
    279      3    756
    280      1    757
    280      2    758
    280      3    759
    281      1    760
    281      2    761
    281      3    762
    282      1    763
    282      2    764
    282      3    765
    283      1    766
    283      2    767
    283      3    768
    284      1    769
    284      2    770
    284      3    771
    285      1    772
    285      2    773
    285      3    774
    286      1    775
    286      2    776
    286      3    777
    287      1    778
    287      2    779
    287      3    780
    288      1    781
    288      2    782
    288      3    783
    289      1    784
    289      2    785
    289      3    786
    290      1    787
    290      2    788
    290      3    789
    291      1    790
    291      2    791
    291      3    792
    292      1    793
    292      2    794
    292      3    795
    293      1    796
    293      2    797
    293      3    798
    294      1    799
    294      2    800
    294      3    801
    295      1    802
    295      2    803
    295      3    804
    296      1    805
    296      2    806
    296      3    807
    297      1    808
    297      2    809
    297      3    810
    298      1    811
    298      2    812
    298      3    813
    299      1    814
    299      2    815
    299      3    816
    300      1    817
    300      2    818
    300      3    819
    301      1    820
    301      2    821
    301      3    822
    302      1    823
    302      2    824
    302      3    825
    303      1    826
    303      2    827
    303      3    828
    304      1    829
    304      2    830
    304      3    831
    305      1    832
    305      2    833
    305      3    834
    306      1    835
    306      2    836
    306      3    837
    307      1    838
    307      2    839
    307      3    840
    308      1    841
    308      2    842
    308      3    843
    309      1    844
    309      2    845
    309      3    846
    310      1    847
    310      2    848
    310      3    849
    311      1    850
    311      2    851
    311      3    852
    312      1    853
    312      2    854
    312      3    855
    313      1    856
    313      2    857
    313      3    858
    314      1    859
    314      2    860
    314      3    861
    315      1    862
    315      2    863
    315      3    864
    316      1    865
    316      2    866
    316      3    867
    317      1    868
    317      2    869
    317      3    870
    318      1    871
    318      2    872
    318      3    873
    319      1    874
    319      2    875
    319      3    876
    320      1    877
    320      2    878
    320      3    879
    321      1    880
    321      2    881
    321      3    882
    322      1    883
    322      2    884
    322      3    885
    323      1    886
    323      2    887
    323      3    888
    324      1    889
    324      2    890
    324      3    891
    325      1    892
    325      2    893
    325      3    894
    326      1    895
    326      2    896
    326      3    897
    327      1    898
    327      2    899
    327      3    900
    328      1    901
    328      2    902
    328      3    903
    329      1    904
    329      2    905
    329      3    906
    330      1    907
    330      2    908
    330      3    909
    331      1    910
    331      2    911
    331      3    912
    332      1    913
    332      2    914
    332      3    915
    333      1    916
    333      2    917
    333      3    918
    334      1    919
    334      2    920
    334      3    921
    335      1    922
    335      2    923
    335      3    924
    336      1    925
    336      2    926
    336      3    927
    337      1    928
    337      2    929
    337      3    930
    338      1    931
    338      2    932
    338      3    933
    339      1    934
    339      2    935
    339      3    936
    340      1    937
    340      2    938
    340      3    939
    341      1    940
    341      2    941
    341      3    942
    342      1    943
    342      2    944
    342      3    945
    343      1    946
    343      2    947
    343      3    948
    344      1    949
    344      2    950
    344      3    951
    345      1    952
    345      2    953
    345      3    954
    346      1    955
    346      2    956
    346      3    957
    347      1    958
    347      2    959
    347      3    960
    348      1    961
    348      2    962
    348      3    963
    349      1    964
    349      2    965
    349      3    966
    350      1    967
    350      2    968
    350      3    969
    351      1    970
    351      2    971
    351      3    972
    352      1    973
    352      2    974
    352      3    975
    353      1    976
    353      2    977
    353      3    978
    354      1    979
    354      2    980
    354      3    981
    355      1    982
    355      2    983
    355      3    984
    356      1    985
    356      2    986
    356      3    987
    357      1    988
    357      2    989
    357      3    990
    358      1    991
    358      2    992
    358      3    993
    359      1    994
    359      2    995
    359      3    996
